symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",48.16,0.73,+1.54%,"62,748","123,436",9.721B,,123436,9721000000
WEX,WEX Inc.,219.76,6.79,+3.19%,"134,027","355,765",9.712B,,355765,9712000000
SJR,Shaw Communications Inc.,19.00,0.15,+0.82%,"181,970","909,080",9.711B,256.82,909080,9711000000
ST,Sensata Technologies Holding plc,61.57,0.89,+1.47%,"195,132",1.147M,9.706B,59.20,1147000,9706000000
ATH,Athene Holding Ltd.,50.28,0.49,+0.97%,1.694M,1.311M,9.644B,6.03,1311000,9644000000
WTBDY,Whitbread PLC,11.95,-0.15,-1.28%,"1,924","95,781",9.636B,15.18,95781,9636000000
MRTX,"Mirati Therapeutics, Inc.",190.01,1.31,+0.69%,"239,736","437,420",9.621B,,437420,9621000000
RH,RH,471.30,10.43,+2.26%,"117,359","428,320",9.615B,58.82,428320,9615000000
DNB,"Dun & Bradstreet Holdings, Inc.",22.38,0.37,+1.68%,"883,825",1.907M,9.611B,,1907000,9611000000
AXON,"Axon Enterprise, Inc.",150.67,9.57,+6.78%,"286,618","712,243",9.61B,,712243,9610000000
LAMR,Lamar Advertising Company (REIT),95.00,0.64,+0.68%,"214,509","509,656",9.587B,39.42,509656,9587000000
ORKLY,Orkla ASA,9.78,-0.09,-0.86%,957,"30,260",9.57B,22.70,30260,9570000000
BLDR,"Builders FirstSource, Inc.",46.24,-0.84,-1.77%,"501,608",2.398M,9.546B,17.39,2398000,9546000000
RS,Reliance Steel & Aluminum Co.,149.90,1.85,+1.25%,"110,883","368,385",9.534B,26.48,368385,9534000000
SKLZ,Skillz Inc.,25.78,0.08,+0.30%,9.495M,7.156M,9.532B,,7156000,9532000000
MIDD,The Middleby Corporation,171.32,3.07,+1.82%,"96,488","851,471",9.532B,45.56,851471,9532000000
FHN,First Horizon Corporation,17.16,0.03,+0.18%,2.952M,6.757M,9.532B,9.08,6757000,9532000000
VER-PF,"VEREIT, Inc.",25.39,-0.01,-0.04%,"5,172","26,279",9.508B,35.31,26279,9508000000
UAA,"Under Armour, Inc.",22.76,0.22,+0.98%,2.202M,5.448M,9.495B,,5448000,9495000000
UA,"Under Armour, Inc.",19.02,0.16,+0.87%,1.03M,3.745M,9.485B,,3745000,9485000000
ICLR,ICON Public Limited Company,179.62,2.37,+1.33%,"157,255","428,756",9.482B,29.21,428756,9482000000
AQN,Algonquin Power & Utilities Corp.,15.82,0.28,+1.80%,"506,114","882,135",9.439B,11.55,882135,9439000000
ZION,"Zions Bancorporation, National Association",57.45,-0.19,-0.33%,"331,036",1.468M,9.434B,19.02,1468000,9434000000
PRAH,"PRA Health Sciences, Inc.",146.04,1.18,+0.81%,"234,272","585,296",9.426B,48.04,585296,9426000000
RZA,"Reinsurance Group of America, Incorporated",26.60,0.07,+0.26%,"8,385","26,695",9.419B,2.18,26695,9419000000
AU,AngloGold Ashanti Limited,22.58,0.53,+2.41%,1.821M,2.971M,9.413B,9.96,2971000,9413000000
WSO,"Watsco, Inc.",244.38,2.86,+1.18%,"37,700","195,390",9.404B,34.86,195390,9404000000
HSIC,"Henry Schein, Inc.",65.94,0.03,+0.05%,"340,484","975,176",9.394B,23.41,975176,9394000000
BRKR,Bruker Corporation,61.81,1.49,+2.47%,"65,123","477,383",9.368B,60.60,477383,9368000000
MKSI,"MKS Instruments, Inc.",169.49,8.96,+5.58%,"130,854","475,336",9.36B,26.78,475336,9360000000
MRVI,"Maravai LifeSciences Holdings, Inc.",36.26,0.76,+2.14%,"293,361",1.244M,9.341B,,1244000,9341000000
NLSN,Nielsen Holdings plc,26.09,0.11,+0.41%,1.042M,4.517M,9.334B,,4517000,9334000000
RDEIY,"Red Eléctrica Corporación, S.A.",8.57,0.07,+0.82%,"3,271","40,476",9.301B,11.40,40476,9301000000
CLPXF,China Longyuan Power Group Corporation Limited,1.1000,0.0,0.00%,"4,954","26,048",9.297B,,26048,9297000000
CBSH,"Commerce Bancshares, Inc.",79.32,0.28,+0.35%,"77,488","460,181",9.287B,27.29,460181,9287000000
JAZZ,Jazz Pharmaceuticals plc,164.86,1.16,+0.71%,"169,042","738,918",9.286B,39.07,738918,9286000000
SSL,Sasol Limited,15.02,-0.26,-1.70%,"339,326","988,090",9.257B,14.35,988090,9257000000
NNN-PF,"National Retail Properties, Inc.",25.61,0.08,+0.31%,"7,535","32,671",9.217B,20.99,32671,9217000000
KL,Kirkland Lake Gold Ltd.,34.40,-0.1,-0.29%,1.011M,1.947M,9.167B,11.82,1947000,9167000000
ABCL,AbCellera Biologics Inc.,34.00,1.78,+5.52%,"417,637",1.154M,9.152B,,1154000,9152000000
VNO,Vornado Realty Trust,47.77,0.74,+1.57%,"342,565",2.555M,9.141B,,2555000,9141000000
ACM,AECOM,61.78,0.97,+1.60%,"342,739",1.064M,9.126B,,1064000,9126000000
MGP,MGM Growth Properties LLC,32.53,-0.53,-1.60%,4.168M,"906,700",9.107B,55.32,906700,9107000000
FLEX,Flex Ltd.,18.25,0.66,+3.72%,2.207M,5.483M,9.107B,21.96,5483000,9107000000
DECK,Deckers Outdoor Corporation,322.99,7.05,+2.23%,"151,743","337,031",9.099B,25.09,337031,9099000000
ATR,"AptarGroup, Inc.",139.33,-0.05,-0.04%,"55,344","230,753",9.079B,43.40,230753,9079000000
SID,Companhia Siderúrgica Nacional,6.59,0.61,+10.28%,2.317M,3.711M,9.075B,9.21,3711000,9075000000
FATE,"Fate Therapeutics, Inc.",96.33,6.49,+7.22%,"287,182",1.076M,9.035B,,1076000,9035000000
FATE,"Fate Therapeutics, Inc.",96.29,6.44,+7.17%,"287,286",1.076M,9.03B,,1076000,9030000000
ACSAY,"ACS, Actividades de Construcción y Servicios, S.A.",6.35,-0.11,-1.70%,"11,846","35,163",9.027B,9.54,35163,9027000000
SGPYY,The Sage Group plc,34.03,0.32,+0.96%,"14,572","38,771",9.025B,,38771,9025000000
GNTX,Gentex Corporation,36.97,0.47,+1.29%,"307,140",1.679M,9.008B,26.29,1679000,9008000000
NTRA,"Natera, Inc.",104.00,5.29,+5.36%,"633,824","890,808",9.004B,,890808,9004000000
OC,Owens Corning,85.75,0.74,+0.87%,"218,446","951,598",8.997B,,951598,8997000000
BYND,"Beyond Meat, Inc.",142.63,4.02,+2.90%,1.539M,4.404M,8.977B,,4404000,8977000000
VER,"VEREIT, Inc.",39.15,0.44,+1.14%,"265,596",2.17M,8.967B,54.45,2170000,8967000000
Y,Alleghany Corporation,640.04,-4.46,-0.69%,"20,625","64,095",8.956B,90.88,64095,8956000000
KSS,Kohl's Corporation,56.76,-0.48,-0.84%,"642,169",4.212M,8.948B,,4212000,8948000000
JLL,Jones Lang LaSalle Incorporated,175.06,0.97,+0.56%,"84,276","445,340",8.947B,22.74,445340,8947000000
STOR,STORE Capital Corporation,33.56,0.81,+2.47%,"550,026",1.898M,8.945B,40.00,1898000,8945000000
GWRE,"Guidewire Software, Inc.",106.69,5.57,+5.50%,"286,734","663,568",8.935B,,663568,8935000000
AGNCM,AGNC Investment Corp.,25.12,0.09,+0.36%,"36,113","27,338",8.93B,,27338,8930000000
RP,"RealPage, Inc.",87.15,0.11,+0.13%,"218,080",2.329M,8.897B,189.46,2329000,8897000000
VST,Vistra Corp.,18.37,-1.15,-5.90%,4.499M,5.673M,8.885B,14.13,5673000,8885000000
ATH-PA,Athene Holding Ltd.,28.33,0.09,+0.32%,"15,936","54,451",8.883B,3.41,54451,8883000000
FVRR,Fiverr International Ltd.,247.60,17.91,+7.80%,"796,214",1.272M,8.875B,,1272000,8875000000
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,5.73,0.07,+1.22%,"381,733",1.456M,8.859B,,1456000,8859000000
USFD,US Foods Holding Corp.,40.07,0.67,+1.70%,1.461M,1.935M,8.859B,,1935000,8859000000
RL,Ralph Lauren Corporation,121.14,-1.47,-1.20%,"392,346",1.087M,8.858B,,1087000,8858000000
AGNCN,AGNC Investment Corp.,25.71,0.2,+0.78%,"7,919","37,183",8.83B,,37183,8830000000
COLD,Americold Realty Trust,34.97,0.37,+1.05%,"601,669",1.564M,8.824B,317.86,1564000,8824000000
NBIX,"Neurocrine Biosciences, Inc.",93.83,3.05,+3.36%,"222,149","902,021",8.815B,22.56,902021,8815000000
NI,NiSource Inc.,22.46,0.33,+1.49%,1.439M,3.251M,8.801B,,3251000,8801000000
TKAMY,thyssenkrupp AG,14.25,0.33,+2.37%,"6,305","31,704",8.799B,950.00,31704,8799000000
AGNC,AGNC Investment Corp.,16.35,-0.05,-0.30%,2.99M,6.839M,8.795B,,6839000,8795000000
H,Hyatt Hotels Corporation,86.73,1.88,+2.22%,"314,637","659,950",8.786B,,659950,8786000000
PNW,Pinnacle West Capital Corporation,77.75,-0.71,-0.90%,"291,256","884,405",8.762B,15.97,884405,8762000000
EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,5.70,0.1,+1.79%,"5,002","70,859",8.75B,,70859,8750000000
RHI,Robert Half International Inc.,77.31,0.79,+1.04%,"136,149",1.132M,8.745B,28.63,1132000,8745000000
AI,"C3.ai, Inc.",86.03,1.47,+1.74%,2.516M,4.617M,8.683B,,4617000,8683000000
IPHI,Inphi Corporation,161.63,8.79,+5.75%,"233,576","732,271",8.675B,,732271,8675000000
OHI,"Omega Healthcare Investors, Inc.",37.39,-0.03,-0.08%,"376,262",1.617M,8.666B,53.72,1617000,8666000000
GLOB,Globant S.A.,216.91,12.67,+6.20%,"34,330","207,806",8.655B,158.33,207806,8655000000
FSLR,"First Solar, Inc.",81.57,5.85,+7.72%,1.312M,2.761M,8.645B,21.87,2761000,8645000000
BBSEY,BB Seguridade Participações S.A.,4.3800,0.065,+1.51%,"9,914","166,655",8.628B,8.90,166655,8628000000
LUNMF,Lundin Mining Corporation,11.74,0.48,+4.26%,"32,523","101,498",8.625B,51.04,101498,8625000000
KGFHY,Kingfisher plc,8.17,0.02,+0.25%,"16,194","100,925",8.622B,,100925,8622000000
WTRU,"Aqua America, Inc.",54.86,0.0,0.00%,"82,544","50,380",8.587B,62.34,50380,8587000000
SEIC,SEI Investments Company,59.78,-0.03,-0.05%,"117,379","520,203",8.579B,19.93,520203,8579000000
AMH-PD,American Homes 4 Rent,25.65,0.05,+0.20%,"8,032","34,711",8.574B,92.60,34711,8574000000
PSO,Pearson plc,11.41,0.01,+0.09%,"146,028","352,185",8.549B,11.24,352185,8548999999
EEFT,"Euronet Worldwide, Inc.",161.10,3.95,+2.51%,"234,592","303,950",8.498B,,303950,8497999999
PLAN,"Anaplan, Inc.",59.82,2.98,+5.24%,1.29M,2.057M,8.488B,,2057000,8488000000
CHPT,Chargepoint Holdings Inc.,30.54,1.91,+6.67%,2.616M,3.859M,8.472B,,3859000,8472000000
NYT,The New York Times Company,50.79,0.37,+0.73%,"635,904",1.634M,8.465B,84.65,1634000,8465000000
ALV,"Autoliv, Inc.",96.89,1.33,+1.39%,"177,394","461,831",8.464B,45.27,461831,8464000000
UGI,UGI Corporation,40.57,-0.23,-0.56%,"228,632",1.005M,8.461B,13.62,1004999,8461000000
PII,Polaris Inc.,136.45,3.06,+2.29%,"285,990","786,713",8.456B,68.57,786713,8455999999
NVTA,Invitae Corporation,42.97,4.31,+11.15%,2.684M,4.977M,8.45B,,4977000,8449999999
CSL,Carlisle Companies Incorporated,158.34,0.35,+0.22%,"66,949","311,266",8.438B,27.28,311266,8438000000
KGC,Kinross Gold Corporation,6.71,0.06,+0.92%,7.668M,19.865M,8.424B,6.33,19865000,8423999999
LAZR,"Luminar Technologies, Inc.",25.95,0.92,+3.68%,2.386M,9.897M,8.406B,,9897000,8406000000
ARCC,Ares Capital Corporation,19.23,0.15,+0.76%,1.054M,2.19M,8.398B,16.86,2190000,8398000000
FRT,Federal Realty Investment Trust,109.16,1.64,+1.53%,"180,821","786,215",8.378B,67.38,786215,8378000000
KIM,Kimco Realty Corporation,19.33,0.09,+0.44%,1.578M,4.85M,8.357B,8.59,4850000,8356999999
CIB,Bancolombia S.A.,34.60,0.51,+1.50%,"82,629","237,590",8.32B,,237590,8320000000
RARE,Ultragenyx Pharmaceutical Inc.,124.13,4.17,+3.48%,"125,460","509,985",8.31B,,509985,8310000000
CLF,Cleveland-Cliffs Inc.,16.62,0.65,+4.07%,8.503M,17.726M,8.291B,,17726000,8291000000
SMAR,Smartsheet Inc.,67.69,3.9,+6.11%,"237,687",1.082M,8.276B,,1082000,8276000000
JNPR,"Juniper Networks, Inc.",25.21,0.52,+2.11%,3.778M,4.897M,8.273B,32.74,4897000,8273000000
DLAKY,Deutsche Lufthansa AG,14.45,0.05,+0.35%,"22,026","49,816",8.255B,2.60,49816,8255000000
CIEN,Ciena Corporation,53.16,2.31,+4.54%,1.257M,1.606M,8.248B,23.43,1606000,8247999999
WES,"Western Midstream Partners, LP",19.95,-0.15,-0.75%,1.023M,1.829M,8.241B,16.85,1829000,8241000000
APA,APA Corporation,21.76,0.13,+0.60%,3.684M,9.112M,8.222B,,9112000,8222000000
BMBL,Bumble Inc.,71.25,8.34,+13.26%,4.368M,6.962M,8.219B,,6962000,8218999999
RNR,RenaissanceRe Holdings Ltd.,161.88,-1.26,-0.78%,"105,822","384,806",8.21B,10.57,384806,8210000000
SC,Santander Consumer USA Holdings Inc.,26.82,0.0,0.00%,"121,646","984,966",8.21B,9.35,984966,8210000000
ARES,Ares Management Corporation,54.67,0.99,+1.85%,"215,370","653,211",8.176B,62.70,653211,8176000000
VIR,"Vir Biotechnology, Inc.",63.93,17.11,+36.54%,7.033M,1.809M,8.173B,,1809000,8173000000
ALK,"Alaska Air Group, Inc.",65.79,-0.6,-0.91%,"791,231",1.868M,8.172B,,1868000,8172000000
SCI,Service Corporation International,48.22,1.02,+2.16%,"451,570","888,985",8.17B,16.74,888985,8170000000
GFI,Gold Fields Limited,9.40,0.3,+3.28%,4.488M,6.363M,8.166B,11.46,6363000,8166000000
XLRN,Acceleron Pharma Inc.,134.37,5.43,+4.21%,"107,454","357,493",8.136B,,357493,8135999999
FCNCA,"First Citizens BancShares, Inc.",835.30,17.47,+2.14%,"20,841","51,788",8.132B,17.59,51788,8132000000
VOYA-PB,"Voya Financial, Inc.",26.70,0.15,+0.56%,"21,286","31,947",8.131B,7.80,31947,8131000000
CRZBY,Commerzbank AG,6.45,-0.09,-1.30%,"3,547","33,488",8.099B,8.12,33488,8099000000
PHYS,Sprott Physical Gold Trust,13.56,-0.02,-0.11%,"806,187",2.38M,8.081B,,2380000,8080999999
BC,Brunswick Corporation,103.79,4.87,+4.92%,"404,440","727,740",8.072B,22.20,727740,8071999999
SPCE,"Virgin Galactic Holdings, Inc.",34.02,3.43,+11.21%,10.112M,20.786M,8.061B,,20786000,8061000000
ASND,Ascendis Pharma A/S,149.93,5.94,+4.13%,"50,190","182,516",8.059B,,182516,8058999999
CPRI,Capri Holdings Limited,53.29,-0.57,-1.06%,"741,407",3.209M,8.049B,,3209000,8048999999
G,Genpact Limited,42.77,0.28,+0.66%,"294,334",1.206M,8.047B,27.24,1206000,8047000000
CONE,CyrusOne Inc.,66.58,1.1,+1.68%,"203,145","839,041",8.02B,190.77,839041,8020000000
ANGI,ANGI Homeservices Inc.,16.03,0.37,+2.36%,"390,684",2.619M,8.015B,,2619000,8015000000
JEF,Jefferies Financial Group Inc.,32.06,0.03,+0.11%,"517,836",2.36M,8.013B,12.09,2360000,8013000000
WFG,West Fraser Timber Co. Ltd.,65.15,0.56,+0.87%,"87,938","56,260",7.996B,,56260,7996000000
AIZ,"Assurant, Inc.",138.02,-0.72,-0.52%,"181,905","474,460",7.992B,19.74,474460,7992000000
KRC,Kilroy Realty Corporation,68.67,-0.16,-0.23%,"274,594",1.205M,7.991B,42.13,1205000,7991000000
IIVI,II-VI Incorporated,76.20,3.1,+4.24%,"886,173",1.521M,7.983B,42.50,1521000,7983000000
VOYA,"Voya Financial, Inc.",64.48,-0.02,-0.03%,"258,201",1.257M,7.982B,,1257000,7982000000
CAE,CAE Inc.,28.20,0.39,+1.40%,"377,940","413,613",7.972B,28.20,413613,7972000000
BCCLF,"Becle, S.A.B. de C.V.",2.2200,0.045,+2.07%,101,"31,224",7.937B,32.65,31224,7937000000
PSHZF,"Pershing Square Holdings, Ltd.",36.80,0.1,+0.27%,"25,690","79,828",7.937B,3.97,79828,7937000000
ACDVF,Air Canada,23.75,1.0,+4.40%,"50,052","223,093",7.927B,20.91,223093,7927000000
SHC,Sotera Health Company,27.99,0.22,+0.79%,"731,062","855,171",7.918B,,855171,7918000000
BERY,"Berry Global Group, Inc.",59.07,-1.24,-2.06%,"633,767","968,278",7.915B,12.45,968278,7915000000
EHC,Encompass Health Corporation,79.65,0.82,+1.03%,"255,100","609,178",7.907B,27.97,609178,7907000000
TRGP,Targa Resources Corp.,34.42,0.02,+0.06%,"513,781",1.936M,7.87B,,1936000,7870000000
OSK,Oshkosh Corporation,114.77,0.76,+0.67%,"115,612","876,008",7.848B,24.79,876008,7848000000
ARW,"Arrow Electronics, Inc.",104.91,0.92,+0.88%,"133,525","512,521",7.826B,14.12,512521,7826000000
NDGPF,Nine Dragons Paper (Holdings) Limited,1.6450,0.0,0.00%,50,"39,113",7.822B,6.45,39113,7822000000
PBCT,"People's United Financial, Inc.",18.38,-0.09,-0.49%,1.081M,5.61M,7.821B,37.59,5610000,7821000000
BEPC,Brookfield Renewable Corporation,45.47,1.88,+4.30%,"496,820",1.032M,7.82B,,1032000,7820000000
LZRFY,Localiza Rent a Car S.A.,10.56,3.06,+40.80%,"85,622","49,286",7.82B,43.64,49286,7820000000
DNLI,Denali Therapeutics Inc.,64.59,6.05,+10.33%,"214,449","672,363",7.814B,102.52,672363,7814000000
NFE,New Fortress Energy Inc.,44.66,1.53,+3.55%,"95,402","547,070",7.799B,,547070,7799000000
IAA,"IAA, Inc.",57.97,0.63,+1.11%,"338,349","840,223",7.799B,39.84,840223,7799000000
TIXT,TELUS International (Cda) Inc.,28.81,0.81,+2.89%,"32,420",1.163M,7.79B,,1163000,7790000000
MANH,"Manhattan Associates, Inc.",121.89,2.83,+2.38%,"100,150","340,828",7.777B,89.63,340828,7777000000
ICL,ICL Group Ltd,6.03,-0.03,-0.50%,"83,846","159,941",7.772B,670.00,159941,7772000000
GGB,Gerdau S.A.,4.9800,0.26,+5.51%,7.424M,6.333M,7.768B,60.00,6333000,7768000000
VAC,Marriott Vacations Worldwide Corporation,188.16,2.91,+1.57%,"138,389","464,006",7.752B,,464006,7752000000
COG,Cabot Oil & Gas Corporation,19.40,0.21,+1.09%,1.839M,5.896M,7.749B,38.80,5896000,7749000000
PFGC,Performance Food Group Company,57.80,0.25,+0.43%,"214,281","770,170",7.731B,,770170,7731000000
SYNH,"Syneos Health, Inc.",74.54,1.78,+2.45%,"129,847","919,053",7.73B,40.73,919053,7730000000
DCI,"Donaldson Company, Inc.",61.26,0.12,+0.20%,"55,660","466,726",7.726B,32.07,466726,7726000000
SITE,"SiteOne Landscape Supply, Inc.",173.52,2.92,+1.71%,"73,434","311,080",7.696B,63.10,311080,7696000000
GCPEF,GCL-Poly Energy Holdings Limited,0.3075,0.0125,+4.24%,"20,438","764,728",7.669B,30.75,764728,7669000000
FOUR,"Shift4 Payments, Inc.",95.10,12.31,+14.87%,1.538M,"822,323",7.661B,,822323,7661000000
ATDRY,Auto Trader Group plc,2.0070,0.053,+2.71%,"78,454","169,966",7.652B,32.37,169966,7652000000
MBT,Mobile TeleSystems Public Joint Stock Company,8.66,0.19,+2.24%,1.553M,3.371M,7.651B,71.57,3371000,7651000000
TPX,"Tempur Sealy International, Inc.",37.22,0.47,+1.28%,"611,609",2.138M,7.643B,22.70,2138000,7643000000
BLDP,Ballard Power Systems Inc.,25.79,2.3,+9.77%,6.373M,7.145M,7.639B,,7145000,7639000000
THO,"Thor Industries, Inc.",137.97,4.07,+3.04%,"246,015","781,651",7.639B,19.68,781651,7639000000
WMS,"Advanced Drainage Systems, Inc.",107.75,-0.0,-0.00%,"282,733","469,226",7.637B,44.76,469226,7637000000
NNN,"National Retail Properties, Inc.",43.49,0.51,+1.19%,"453,809",1.18M,7.623B,35.65,1180000,7623000000
HII,"Huntington Ingalls Industries, Inc.",188.81,0.95,+0.51%,"108,839","391,898",7.612B,11.02,391898,7612000000
AIZP,"Assurant, Inc.",129.82,-0.52,-0.40%,595,"52,301",7.604B,18.56,52301,7604000000
ITT,ITT Inc.,87.86,0.72,+0.82%,"153,226","424,826",7.599B,106.36,424826,7599000000
APPS,"Digital Turbine, Inc.",84.73,8.84,+11.65%,3.592M,3.982M,7.576B,205.66,3982000,7576000000
RDFN,Redfin Corporation,73.22,3.78,+5.45%,"891,300",1.986M,7.557B,,1986000,7557000000
ARWR,"Arrowhead Pharmaceuticals, Inc.",72.57,2.94,+4.22%,"277,730","901,251",7.532B,,901251,7532000000
OMF,"OneMain Holdings, Inc.",56.00,1.93,+3.57%,"569,622",1.246M,7.523B,10.35,1246000,7523000000
TRIP,"TripAdvisor, Inc.",55.77,3.97,+7.66%,2.733M,3.467M,7.519B,,3467000,7519000000
CUBE,CubeSmart,37.48,-0.1,-0.27%,"127,301",1.258M,7.485B,44.09,1258000,7485000000
CASY,"Casey's General Stores, Inc.",202.54,-1.93,-0.94%,"80,297","266,173",7.483B,22.63,266173,7483000000
CASY,"Casey's General Stores, Inc.",202.54,-1.93,-0.94%,"80,297","266,173",7.483B,22.63,266173,7483000000
KNX,Knight-Swift Transportation Holdings Inc.,45.16,0.6,+1.35%,"915,691",1.814M,7.481B,18.82,1814000,7481000000
AER,AerCap Holdings N.V.,57.34,3.95,+7.40%,2.767M,1.447M,7.477B,,1447000,7477000000
VRT,Vertiv Holdings Co,21.27,0.64,+3.10%,1.415M,4.199M,7.475B,,4199000,7475000000
KCDMY,"Kimberly-Clark de México, S. A. B. de C. V.",8.39,-0.01,-0.12%,"7,658","60,920",7.463B,23.97,60920,7463000000
PVH,PVH Corp.,104.74,-0.62,-0.59%,"206,770","949,033",7.447B,,949033,7447000000
DXC,DXC Technology Company,29.24,0.24,+0.83%,"652,079",3.236M,7.444B,,3236000,7444000000
BMRRY,B&M European Value Retail S.A.,29.89,0.19,+0.65%,"8,171","66,144",7.429B,26.78,66144,7429000000
IONS,"Ionis Pharmaceuticals, Inc.",52.68,0.9,+1.74%,"206,134",1.085M,7.421B,,1085000,7421000000
MNSO,MINISO Group Holding Limited,24.36,0.1,+0.41%,"505,958",1.158M,7.405B,,1158000,7405000000
MSTR,MicroStrategy Incorporated,771.10,14.55,+1.92%,"242,315",1.076M,7.393B,,1076000,7393000000
LSPD,Lightspeed POS Inc.,62.34,4.19,+7.21%,"554,769","692,580",7.391B,,692580,7391000000
CNXC,Concentrix Corporation,142.01,6.27,+4.62%,"70,615","227,390",7.388B,,227390,7388000000
WWD,"Woodward, Inc.",117.04,-0.76,-0.65%,"102,128","271,105",7.379B,32.99,271105,7379000000
PFPT,"Proofpoint, Inc.",128.43,2.16,+1.71%,"128,976","644,651",7.371B,,644651,7371000000
TX,Ternium S.A.,37.39,0.78,+2.13%,"393,716","496,278",7.34B,9.43,496278,7340000000
TTEK,"Tetra Tech, Inc.",135.31,2.2,+1.65%,"134,866","355,120",7.338B,41.39,355120,7338000000
TCF,TCF Financial Corporation,48.06,-0.17,-0.34%,"216,781",1.384M,7.335B,34.33,1384000,7335000000
MAT,"Mattel, Inc.",21.04,0.24,+1.15%,"980,824",2.798M,7.325B,58.44,2798000,7325000000
DADA,Dada Nexus Limited,31.12,1.63,+5.53%,"914,728",2.133M,7.324B,,2133000,7324000000
LECO,"Lincoln Electric Holdings, Inc.",122.69,1.34,+1.10%,"34,345","246,461",7.32B,35.87,246461,7320000000
AVAL,Grupo Aval Acciones y Valores S.A.,6.56,0.04,+0.61%,"92,172","123,561",7.308B,8.63,123561,7308000000
JSAIY,J Sainsbury plc,13.22,-0.04,-0.30%,"1,525","30,471",7.295B,19.67,30471,7295000000
MP,MP Materials Corp.,42.53,3.23,+8.22%,2.975M,5.227M,7.261B,,5227000,7261000000
OSCR,"Oscar Health, Inc.",35.74,-1.03,-2.80%,"740,222",7.404M,7.26B,,7404000,7260000000
FNMAS,Federal National Mortgage Association,5.73,0.02,+0.35%,"160,257",1.89M,7.253B,"1,910.00",1890000,7253000000
PB,"Prosperity Bancshares, Inc.",77.90,0.5,+0.65%,"202,974","446,675",7.239B,13.71,446675,7239000000
BYD,Boyd Gaming Corporation,64.65,3.77,+6.19%,"745,823",1.144M,7.232B,,1144000,7232000000
SGFY,"Signify Health, Inc.",30.88,2.75,+9.80%,"232,290",1.822M,7.219B,,1822000,7219000000
RCM,R1 RCM Inc.,27.59,0.86,+3.24%,"332,477",1.026M,7.204B,84.39,1026000,7204000000
FLIR,"FLIR Systems, Inc.",54.81,0.22,+0.40%,1.745M,2.38M,7.193B,34.26,2380000,7193000000
OVV,Ovintiv Inc.,27.65,0.33,+1.21%,"945,302",3.457M,7.171B,,3457000,7171000000
SNV,Synovus Financial Corp.,48.16,0.25,+0.52%,"264,305","930,786",7.159B,20.94,930786,7159000000
UTHR,United Therapeutics Corporation,160.69,1.01,+0.63%,"67,122","335,391",7.158B,13.92,335391,7158000000
DIFTY,"Daito Trust Construction Co.,Ltd.",26.33,-0.49,-1.83%,"3,464","52,650",7.146B,10.04,52650,7146000000
JBL,Jabil Inc.,47.58,2.25,+4.96%,"606,339","950,750",7.145B,34.33,950750,7145000000
HRC,"Hill-Rom Holdings, Inc.",107.49,2.69,+2.57%,"966,875","434,630",7.133B,29.77,434630,7133000000
PLNT,"Planet Fitness, Inc.",82.36,0.59,+0.72%,"333,781",1.435M,7.128B,,1435000,7128000000
AZEK,The AZEK Company Inc.,46.03,1.11,+2.46%,"321,099",1.251M,7.122B,,1251000,7122000000
TOL,"Toll Brothers, Inc.",57.81,0.27,+0.47%,1.132M,1.838M,7.118B,15.25,1838000,7118000000
CFR,"Cullen/Frost Bankers, Inc.",112.65,0.03,+0.03%,"109,357","427,906",7.116B,22.05,427906,7116000000
IVPAF,Ivanhoe Mines Ltd.,5.90,-0.19,-3.12%,"406,662","167,701",7.115B,,167701,7115000000
RGLD,"Royal Gold, Inc.",108.41,0.98,+0.91%,"136,950","479,323",7.112B,28.01,479323,7112000000
MTZ,"MasTec, Inc.",95.61,-0.15,-0.16%,"301,154","770,358",7.095B,21.83,770358,7095000000
SEE,Sealed Air Corporation,45.78,-1.07,-2.28%,"523,418",1.126M,7.092B,14.21,1126000,7092000000
CHE,Chemed Corporation,442.07,9.14,+2.11%,"15,391","101,383",7.088B,22.69,101383,7088000000
AXTA,Axalta Coating Systems Ltd.,30.17,0.02,+0.07%,"884,544",2.655M,7.059B,58.36,2655000,7059000000
FFIN,"First Financial Bankshares, Inc.",49.51,0.52,+1.06%,"166,434","448,665",7.043B,34.87,448665,7043000000
CHNG,Change Healthcare Inc.,22.95,0.19,+0.83%,"872,448",5.43M,7.035B,,5430000,7035000000
EXEL,"Exelixis, Inc.",22.47,0.26,+1.15%,"327,554",2.408M,7.009B,64.19,2408000,7009000000
RTMVY,Rightmove plc,16.22,0.19,+1.17%,"13,414","46,883",6.992B,36.86,46883,6992000000
TGTX,"TG Therapeutics, Inc.",49.61,2.97,+6.37%,"740,550",1.828M,6.974B,,1828000,6974000000
ADT,ADT Inc.,8.42,0.49,+6.15%,3.171M,4.345M,6.956B,,4345000,6956000000
PAA,"Plains All American Pipeline, L.P.",9.62,-0.14,-1.43%,2.528M,5.54M,6.946B,,5540000,6946000000
HBI,Hanesbrands Inc.,19.88,0.01,+0.08%,1.202M,5.708M,6.932B,,5708000,6932000000
