symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
HON,Honeywell International Inc.,206.58,3.64,1.79%,2.858M,2.655M,143.677B,30.74,2655000,1.43677E+11
JD,"JD.com, Inc.",90.62,-0.15,-0.17%,16.834M,10.811M,143.253B,616.46,10811000,1.43253E+11
UPS,"United Parcel Service, Inc.",164.4,4.95,3.10%,3.672M,3.644M,142.541B,106.75,3644000,1.42541E+11
UNP,Union Pacific Corporation,209.71,8.63,4.29%,3.187M,2.727M,140.47B,26.61,2727000,1.4047E+11
COST,Costco Wholesale Corporation,317.32,-1.72,-0.54%,8.103M,2.733M,140.463B,32.45,2733000,1.40463E+11
SHOP,Shopify Inc.,"1,131.01",-18.43,-1.60%,3.943M,1.433M,138.58B,436.68,1433000,1.3858E+11
NEE,"NextEra Energy, Inc.",70.7,-0.59,-0.83%,15.51M,8.383M,138.563B,47.77,8382999,1.38563E+11
BMY,Bristol-Myers Squibb Company,60.43,1.09,1.84%,14.98M,12.189M,135.392B,,12189000,1.35392E+11
PM,Philip Morris International Inc.,86.16,1.55,1.83%,4.47M,5.097M,134.19B,16.7,5097000,1.3419E+11
RIO,Rio Tinto Group,83.64,1.74,2.12%,3.644M,2.076M,131.659B,13.94,2076000,1.31659E+11
AMGN,Amgen Inc.,227.73,5.82,2.62%,3.021M,2.52M,131.529B,18.5,2520000,1.31529E+11
BA,The Boeing Company,223.22,-1.49,-0.66%,20.027M,14.46M,130.137B,,14460000,1.30137E+11
LIN,Linde plc,247.64,2.22,0.90%,2.136M,1.772M,129.475B,52.6,1772000,1.29475E+11
TOT,TOTAL SE,49.2,0.88,1.82%,5.554M,2.544M,128.901B,,2544000,1.28901E+11
SNE,Sony Corporation,104.14,2.3,2.26%,1.054M,1.046M,128.441B,21.89,1046000,1.28441E+11
RY,Royal Bank of Canada,88.92,2.14,2.47%,2.772M,1.127M,126.501B,14.15,1127000,1.26501E+11
AZN,AstraZeneca PLC,48.06,0.83,1.76%,11.175M,12.763M,125.069B,39.46,12763000,1.25069E+11
WFC-PC,Wells Fargo & Company,24.33,0.17,0.70%,"2,49,802",1.322M,125.025B,,1322000,1.25025E+11
WFC-PC,Wells Fargo & Company,24.33,0.17,0.70%,"2,49,802",1.322M,125.025B,,1322000,1.25025E+11
SBUX,Starbucks Corporation,105.2,0.31,0.30%,5.56M,6.098M,123.852B,185.21,6098000,1.23852E+11
HSBC,HSBC Holdings plc,30.64,0.95,3.20%,2.557M,2.238M,123.829B,32.25,2238000,1.23829E+11
SCHW,The Charles Schwab Corporation,65.02,0.25,0.39%,10.204M,8.438M,122.39B,30.67,8438000,1.2239E+11
CHTR,"Charter Communications, Inc.",624.03,16.39,2.70%,1.513M,1.213M,120.894B,40.52,1213000,1.20894E+11
CAT,Caterpillar Inc.,220.16,7.39,3.47%,3.602M,3.05M,120.054B,40.32,3050000,1.20054E+11
GE,General Electric Company,13.6,0.04,0.29%,104.975M,79.171M,119.244B,23.61,79171000,1.19244E+11
BUD,Anheuser-Busch InBev SA/NV,60.96,0.54,0.89%,1.77M,1.717M,119.12B,87.21,1717000,1.1912E+11
AXP,American Express Company,147.33,4.65,3.26%,5.048M,3.818M,118.687B,39.08,3818000,1.18687E+11
SE,Sea Limited,229.76,0.08,0.03%,9.361M,4.051M,117.621B,,4051000,1.17621E+11
LOW,"Lowe's Companies, Inc.",158.58,4.81,3.13%,5.143M,4.385M,115.922B,20.46,4385000,1.15922E+11
SNY,Sanofi,46.59,0.69,1.50%,3.172M,2.828M,115.653B,24.02,2828000,1.15653E+11
HDB,HDFC Bank Limited,82.28,0.95,1.17%,1.588M,1.419M,115.278B,159,1419000,1.15278E+11
RTX,Raytheon Technologies Corporation,75.18,0.76,1.02%,6.662M,7.26M,114.235B,,7260000,1.14235E+11
TD,The Toronto-Dominion Bank,62.82,0.89,1.44%,3.106M,1.637M,114.032B,13.9,1637000,1.14032E+11
GS,"The Goldman Sachs Group, Inc.",327.37,-1.92,-0.58%,3.74M,3.219M,113.203B,13.23,3219000,1.13203E+11
IBM,International Business Machines Corporation,122.83,2.72,2.26%,6.949M,6.515M,109.76B,19.71,6515000,1.0976E+11
DE,Deere & Company,349.83,11.88,3.52%,1.98M,1.723M,109.65B,32.01,1723000,1.0965E+11
ABNB,"Airbnb, Inc.",179.81,-0.42,-0.23%,8.789M,9.08M,107.427B,,9080000,1.07427E+11
EL,The Estée Lauder Companies Inc.,292.89,7.7,2.70%,1.269M,1.361M,106.248B,115.9,1361000,1.06248E+11
MMM,3M Company,180.8,3.17,1.78%,2.263M,2.675M,104.701B,19.55,2675000,1.04701E+11
INTU,Intuit Inc.,382.21,5.88,1.56%,1.588M,1.395M,104.664B,58.33,1395000,1.04664E+11
AMAT,"Applied Materials, Inc.",113.45,5.21,4.81%,9.963M,7.711M,104.109B,27.13,7711000,1.04109E+11
UBER,"Uber Technologies, Inc.",55.54,2.47,4.65%,31.576M,22.278M,103.212B,,22278000,1.03212E+11
MU,"Micron Technology, Inc.",88.93,4.6,5.45%,30.329M,17.949M,99.483B,33.55,17949000,99483000000
ZM,"Zoom Video Communications, Inc.",337.43,-5.66,-1.65%,8.256M,6.077M,98.492B,149.97,6077000,98492000000
SQ,"Square, Inc.",216.44,-1.97,-0.90%,24.774M,10.438M,98.397B,491.91,10438000,98397000000
NOW,"ServiceNow, Inc.",486.96,-3.67,-0.75%,3.233M,1.43M,95.493B,825.36,1430000,95493000000
LMT,Lockheed Martin Corporation,340.43,2.18,0.64%,1.451M,1.894M,95.355B,14.01,1894000,95355000000
AMD,"Advanced Micro Devices, Inc.",78.52,0.77,0.99%,58.548M,42.894M,95.113B,38.04,42894000,95113000000
CVS,CVS Health Corporation,70.63,1.46,2.11%,8.296M,6.873M,92.621B,12.93,6873000,92621000000
VALE,Vale S.A.,17.74,1.01,6.02%,40.995M,28.585M,91.005B,18.63,28585000,91005000000
SYK,Stryker Corporation,240.03,4.23,1.79%,1.618M,1.166M,90.3B,57.15,1166000,90300000000
BP,BP p.l.c.,26.77,0.74,2.84%,21.166M,17.112M,90.116B,,17112000,90116000000
AMT,American Tower Corporation (REIT),200,-1.19,-0.59%,3.456M,2.301M,88.877B,52.77,2301000,88877000000
BIDU,"Baidu, Inc.",261.72,1.13,0.43%,15.975M,11.11M,88.095B,20.39,11110000,88095000000
FIS,"Fidelity National Information Services, Inc.",141.14,4.21,3.07%,5.338M,4.515M,87.666B,564.56,4515000,87666000000
GSK,GlaxoSmithKline plc,34.91,0.63,1.84%,6.448M,5.655M,86.878B,35.19,5655000,86878000000
SNAP,Snap Inc.,57.43,-0.28,-0.49%,28.931M,22.326M,86.622B,,22326000,86622000000
TGT,Target Corporation,172.61,2.79,1.64%,6.008M,3.957M,86.456B,19.98,3957000,86456000000
MO,"Altria Group, Inc.",45.12,0.86,1.94%,11.434M,9.051M,83.864B,18.8,9051000,83864000000
BTI,British American Tobacco p.l.c.,36.76,0.56,1.55%,2.908M,2.154M,83.332B,1.66,2154000,83332000000
ANTM,"Anthem, Inc.",333.6,12.11,3.77%,1.766M,1.29M,81.701B,18.55,1290000,81701000000
GILD,"Gilead Sciences, Inc.",64.62,1.39,2.20%,9.761M,9.153M,81.201B,659.39,9153000,81201000000
CI,Cigna Corporation,230.62,6.04,2.69%,2.355M,1.886M,80.849B,10.04,1886000,80849000000
SPGI,S&P Global Inc.,334.52,6.98,2.13%,2.236M,1.85M,80.519B,34.63,1850000,80519000000
FISV,"Fiserv, Inc.",119.69,4.14,3.58%,6.139M,4.746M,80.128B,85.49,4746000,80128000000
MDLZ,"Mondelez International, Inc.",55.58,1.62,3.00%,13.708M,7.41M,79.643B,22.5,7410000,79643000000
TFC,Truist Financial Corporation,58.72,1.34,2.34%,6.149M,5.758M,79.108B,,5758000,79108000000
COP,ConocoPhillips,58.34,2.72,4.89%,18.7M,11.166M,79.035B,,11166000,79035000000
USB,U.S. Bancorp,52.47,1.45,2.84%,10.621M,7.26M,78.817B,17.15,7260000,78817000000
LRCX,Lam Research Corporation,547.7,18.89,3.57%,2.216M,1.575M,78.271B,27.2,1575000,78271000000
GM,General Motors Company,53.75,1.92,3.70%,25.19M,23.1M,77.449B,12.41,23100000,77449000000
CB,Chubb Limited,171.67,5.67,3.42%,2.178M,1.633M,77.29B,22.04,1633000,77290000000
CME,CME Group Inc.,213.92,6.9,3.33%,3.186M,1.782M,76.799B,36.44,1782000,76799000000
INFY,Infosys Limited,18.28,0.11,0.61%,8.946M,8.626M,76.394B,30.98,8626000,76394000000
ADP,"Automatic Data Processing, Inc.",178.26,7.25,4.24%,2.536M,1.814M,76.285B,30.89,1814000,76285000000
TJX,"The TJX Companies, Inc.",62.72,0.17,0.27%,9.185M,6.807M,75.304B,896,6807000,75304000000
PNC,"The PNC Financial Services Group, Inc.",176.46,3.88,2.25%,2.087M,1.961M,74.823B,10.4,1961000,74823000000
BNS,The Bank of Nova Scotia,61.23,1.01,1.68%,2.134M,1.248M,74.041B,11.95,1248000,74041000000
NTES,"NetEase, Inc.",108.26,2,1.88%,2.453M,2.603M,73.716B,16.23,2603000,73716000000
PLD,"Prologis, Inc.",97.37,1.73,1.81%,3.553M,2.824M,72.005B,48.49,2824000,72005000000
ATVI,"Activision Blizzard, Inc.",92.58,1.04,1.14%,8.349M,6.092M,71.727B,32.83,6092000,71727000000
ENB,Enbridge Inc.,35.44,0.24,0.68%,6.657M,5.039M,71.615B,48.82,5039000,71615000000
BDX,"Becton, Dickinson and Company",246.45,5.57,2.31%,1.106M,1.296M,71.609B,46.89,1296000,71609000000
CSX,CSX Corporation,91.63,3.37,3.82%,3.078M,3.785M,69.868B,25.45,3785000,69868000000
ZTS,Zoetis Inc.,145.68,1.68,1.17%,3.521M,1.933M,69.244B,42.6,1933000,69244000000
FDX,FedEx Corporation,257.29,7.64,3.06%,1.933M,2.844M,68.2B,27.78,2844000,68200000000
DUK,Duke Energy Corporation,88.53,2.07,2.39%,3.788M,2.945M,68.05B,51.5,2945000,68050000000
MUFG,"Mitsubishi UFJ Financial Group, Inc.",5.32,0.01,0.19%,1.866M,1.518M,67.224B,6.19,1518000,67224000000
ITW,Illinois Tool Works Inc.,210.01,6.04,2.96%,"8,64,740",1.013M,66.502B,31.68,1012999,66501999999
EQNR,Equinor ASA,20.33,0.93,4.79%,4.276M,4.216M,66.207B,,4216000,66206999999
CCI,Crown Castle International Corp. (REIT),150.15,1.02,0.68%,3.774M,2.446M,64.761B,63.89,2446000,64760999999
ICE,"Intercontinental Exchange, Inc.",114.97,3.84,3.46%,3.008M,2.421M,64.579B,30.5,2421000,64578999999
CL,Colgate-Palmolive Company,76.06,1.62,2.18%,10.241M,4.293M,64.542B,24.22,4293000,64542000000
NSC,Norfolk Southern Corporation,256,11.29,4.61%,1.405M,1.167M,64.489B,32.67,1167000,64489000000
DELL,Dell Technologies Inc.,85.35,2.55,3.08%,3.513M,2.568M,63.996B,20.23,2568000,63996000000
BAM,Brookfield Asset Management Inc.,41.61,0.76,1.86%,2.815M,2.645M,62.698B,,2645000,62698000000
HCA,"HCA Healthcare, Inc.",183.71,7.37,4.18%,2.059M,1.519M,62.446B,16.81,1519000,62446000000
BEKE,KE Holdings Inc.,52.43,-0.25,-0.47%,11.907M,4.159M,61.803B,,4159000,61803000000
SAN,"Banco Santander, S.A.",3.68,0.15,4.25%,10.481M,7.884M,61.74B,7.63,7884000,61740000000
SO,The Southern Company,58.35,0.94,1.64%,4.435M,3.673M,61.653B,19.91,3673000,61653000000
VMW,"VMware, Inc.",143.89,4.82,3.47%,1.57M,1.531M,60.334B,29.61,1531000,60334000000
MMC,"Marsh & McLennan Companies, Inc.",117.01,3.8,3.36%,2.015M,1.743M,59.463B,29.7,1743000,59463000000
NIO,NIO Limited,38.11,-1.17,-2.98%,270.803M,112.411M,59.41B,,112411000,59410000000
ABB,ABB Ltd,29.7,0.53,1.82%,3.285M,1.948M,59.13B,12.18,1948000,59130000000
ADSK,"Autodesk, Inc.",267.39,1.95,0.73%,1.836M,1.395M,58.796B,49.15,1395000,58796000000
COF,Capital One Financial Corporation,127.7,1.76,1.40%,4.443M,3.462M,58.645B,24.64,3462000,58645000000
GPN,Global Payments Inc.,198.29,3.75,1.93%,1.529M,1.841M,58.544B,101.69,1841000,58544000000
APD,"Air Products and Chemicals, Inc.",263.82,7.39,2.88%,"8,61,972",1.27M,58.377B,30.99,1270000,58377000000
ILMN,"Illumina, Inc.",398.85,-0.76,-0.19%,1.182M,1.121M,58.192B,89.63,1121000,58192000000
IBN,ICICI Bank Limited,16.96,0,0.00%,7.329M,9.01M,57.61B,48.74,9010000,57610000000
TEAM,Atlassian Corporation Plc,228.21,2.77,1.23%,2.187M,1.452M,57.067B,,1452000,57067000000
UBS,UBS Group AG,15.63,0.23,1.49%,3.886M,2.781M,54.838B,8.84,2781000,54838000000
SNOW,Snowflake Inc.,239.73,-9.27,-3.72%,20.149M,4.946M,52.798B,,4946000,52798000000
NOC,Northrop Grumman Corporation,300.91,3.4,1.14%,1.007M,1.155M,50.167B,15.81,1155000,50167000000
RKT,"Rocket Companies, Inc.",25.1,-1.76,-6.55%,35.129M,21.872M,49.81B,,21872000,49810000000
REGN,"Regeneron Pharmaceuticals, Inc.",461.57,12.19,2.71%,1.224M,1.043M,49.449B,15.12,1042999,49449000000
F,Ford Motor Company,12.27,0.34,2.85%,79.346M,78.93M,48.819B,,78930000,48819000000
GD,General Dynamics Corporation,170.52,4.75,2.87%,1.188M,1.454M,48.814B,15.5,1454000,48814000000
SMFG,"Sumitomo Mitsui Financial Group, Inc.",7.16,0.08,1.13%,1.55M,1.283M,48.632B,6.74,1283000,48632000000
DASH,"DoorDash, Inc.",151.48,1.48,0.99%,6.176M,3.749M,48.119B,,3749000,48119000000
LVS,Las Vegas Sands Corp.,62.44,0.09,0.14%,10.439M,6.646M,47.694B,,6646000,47694000000
MAR,"Marriott International, Inc.",146.92,2.15,1.49%,3.041M,2.52M,47.663B,,2520000,47663000000
DOW,Dow Inc.,62.91,1.71,2.79%,3.884M,4.093M,46.8B,38.36,4093000,46800000000
ING,ING Groep N.V.,12,0.34,2.92%,11.738M,4.027M,46.496B,9.04,4027000,46496000000
BX,The Blackstone Group Inc.,66.02,-1.06,-1.58%,6.291M,2.706M,46.473B,44.01,2706000,46473000000
VOD,Vodafone Group Plc,17.71,0.15,0.85%,3.655M,3.598M,46.439B,,3598000,46439000000
KHC,The Kraft Heinz Company,37.85,0.64,1.72%,7.563M,6.974M,46.297B,130.52,6974000,46297000000
VIAC,ViacomCBS Inc.,74.24,2.36,3.28%,14.159M,15.356M,45.999B,,15356000,45999000000
TAL,TAL Education Group,76.04,0.92,1.22%,2.729M,3.317M,45.653B,,3317000,45653000000
MNST,Monster Beverage Corporation,86.42,1.74,2.05%,3.408M,1.994M,45.642B,32.73,1994000,45642000000
KLAC,KLA Corporation,295.87,8.25,2.87%,1.631M,1.144M,45.586B,33.84,1144000,45586000000
NEM,Newmont Corporation,56.74,1.32,2.38%,7.921M,6.392M,45.41B,16.16,6392000,45410000000
ROKU,"Roku, Inc.",353.54,-6.41,-1.78%,7.958M,4.896M,45.402B,,4896000,45402000000
CVNA,Carvana Co.,261.54,-8.45,-3.13%,2.729M,1.522M,45.053B,,1522000,45053000000
ITUB,Itaú Unibanco Holding S.A.,4.84,0.17,3.64%,66.637M,40.457M,44.992B,7.56,40457000,44992000000
KMB,Kimberly-Clark Corporation,131.59,2.91,2.26%,2.542M,2.051M,44.525B,19.15,2051000,44525000000
TRP,TC Energy Corporation,45.03,0.72,1.62%,5.162M,2.526M,44.457B,16.2,2526000,44457000000
KDP,Keurig Dr Pepper Inc.,31.53,0.65,2.10%,5.867M,4.509M,44.371B,33.9,4509000,44371000000
TME,Tencent Music Entertainment Group,26.15,0.25,0.97%,16.938M,12.945M,43.867B,80.71,12945000,43867000000
AMX,"América Móvil, S.A.B. de C.V.",13.13,0.07,0.54%,3.754M,3.373M,43.802B,32.83,3373000,43802000000
DG,Dollar General Corporation,178.71,0.57,0.32%,2.522M,2.318M,43.784B,17.69,2318000,43784000000
PLTR,Palantir Technologies Inc.,23.95,-0.78,-3.15%,173.469M,82.936M,43.643B,,82936000,43643000000
EOG,"EOG Resources, Inc.",74.58,3.15,4.41%,6.638M,4.815M,43.522B,,4815000,43522000000
TEL,TE Connectivity Ltd.,130.04,2.18,1.70%,1.344M,1.783M,43.029B,378.02,1783000,43029000000
PINS,"Pinterest, Inc.",68.14,-0.7,-1.02%,22.085M,12.164M,42.827B,,12164000,42827000000
JCI,Johnson Controls International plc,59.2,1.93,3.37%,5.304M,4.52M,42.528B,47.67,4520000,42528000000
STZ,"Constellation Brands, Inc.",217.01,5.86,2.78%,"9,42,151",1.167M,41.938B,20.94,1167000,41938000000
SYY,Sysco Corporation,81.79,2.37,2.98%,2.231M,2.567M,41.747B,,2567000,41747000000
ABEV,Ambev S.A.,2.71,0.05,1.88%,39.867M,24.985M,41.645B,15.4,24985000,41645000000
BCS,Barclays PLC,9.55,0.34,3.69%,147.612M,6.889M,41.386B,85.27,6889000,41386000000
BIIB,Biogen Inc.,270.71,7.14,2.71%,1.062M,1.297M,41.239B,10.92,1297000,41239000000
BILI,Bilibili Inc.,118.84,-7.82,-6.17%,12.05M,6.8M,41.051B,,6800000,41051000000
MFC,Manulife Financial Corporation,21.16,0.83,4.08%,7.527M,3.047M,40.999B,23.03,3047000,40999000000
WBA,"Walgreens Boots Alliance, Inc.",47.2,0.34,0.73%,6.182M,6.458M,40.783B,,6458000,40783000000
SLB,Schlumberger Limited,29.07,0.49,1.71%,26.809M,13.816M,40.648B,,13816000,40648000000
BKRKF,PT Bank Rakyat Indonesia (Persero) Tbk,0.3274,0.0124,3.94%,"5,07,239",1.206M,40.627B,18.19,1206000,40627000000
AIG,"American International Group, Inc.",46.97,0.7,1.51%,5.328M,4.765M,40.619B,,4765000,40619000000
BCE,BCE Inc.,45,1.04,2.37%,2.712M,1.304M,40.607B,19.62,1304000,40607000000
CRWD,"CrowdStrike Holdings, Inc.",183.12,-9.87,-5.11%,9.438M,4.397M,40.518B,,4397000,40518000000
ERIC,Telefonaktiebolaget LM Ericsson (publ),12.13,0.05,0.41%,7.737M,7.372M,40.412B,,7372000,40412000000
ROST,"Ross Stores, Inc.",113.13,1.11,0.99%,3.79M,1.874M,40.327B,471.38,1874000,40327000000
DD,"DuPont de Nemours, Inc.",74.03,1.37,1.89%,4.741M,13.398M,39.835B,,13398000,39835000000
BK,The Bank of New York Mellon Corporation,45.03,0.27,0.60%,5.829M,5.897M,39.489B,11.76,5897000,39489000000
APTV,Aptiv PLC,146.17,-0.23,-0.16%,2.953M,1.852M,39.47B,21.93,1852000,39470000000
LYG,Lloyds Banking Group plc,2.24,0.04,1.82%,9.464M,6.628M,39.45B,7.47,6628000,39450000000
BAX,Baxter International Inc.,78.06,1.64,2.15%,2.456M,2.836M,39.428B,36.65,2836000,39428000000
TROW,"T. Rowe Price Group, Inc.",172.7,9.18,5.61%,1.845M,1.139M,39.366B,17.3,1139000,39366000000
MTCH,"Match Group, Inc.",146.29,2.63,1.83%,5.159M,2.837M,39.348B,299.77,2837000,39348000000
CMI,Cummins Inc.,265.86,7.25,2.80%,1.306M,1.072M,39.256B,22.14,1072000,39256000000
AEP,"American Electric Power Company, Inc.",78.9,1.65,2.14%,4.183M,3.082M,39.182B,17.85,3082000,39182000000
MCHP,Microchip Technology Incorporated,145.44,5.35,3.82%,3.322M,2.14M,39.161B,115.61,2140000,39161000000
CTSH,Cognizant Technology Solutions Corporation,73.71,1.31,1.81%,2.779M,2.889M,39.112B,28.68,2889000,39112000000
DOCU,"DocuSign, Inc.",204.31,-6.31,-3.00%,6.785M,3.227M,39.076B,,3227000,39076000000
LU,Lufax Holding Ltd,15.21,-0.05,-0.33%,6.266M,4.532M,38.806B,,4532000,38806000000
EXC,Exelon Corporation,39.64,0.25,0.64%,7.839M,4.929M,38.702B,19.72,4929000,38702000000
LHX,"L3Harris Technologies, Inc.",187.09,3.36,1.83%,1.15M,1.311M,38.459B,25.45,1311000,38459000000
